asv_id,family,species,ndf,ddf,f.value,p.value,fdr.bh
ASV40,Erythrobacteraceae,Qipengyuania sp.,4,24.8,8.51,<0.001,0.022
ASV25,Fastidiosibacteraceae,Cysteiniphilum litorale,4,18.4,11.70,<0.001,0.009
ASV41,Flavobacteriaceae,Seonamhaeicola sp.,4,25.9,7.10,<0.001,0.046
ASV544,Flavobacteriaceae,Ascidiaceibacter salegens,4,94.0,7.65,<0.001,0.003
ASV304,Paracoccaceae,Pseudooceanicola sp.,4,90.6,9.65,<0.001,<0.001
ASV9,Roseobacteraceae,,4,10.8,12.16,<0.001,0.046
ASV93,Roseobacteraceae,Thalassovita mediterranea,4,91.0,14.09,<0.001,<0.001
ASV12,Rubritaleaceae,Rubritalea sp.,4,16.5,18.15,<0.001,0.002
ASV185,Rubritaleaceae,Rubritalea tangerina,4,24.4,11.40,<0.001,0.003
ASV217,Rubritaleaceae,Rubritalea tangerina,4,74.8,9.38,<0.001,0.001
ASV251,Saprospiraceae,Saprospira grandis,4,11.1,12.76,<0.001,0.039
ASV392,Saprospiraceae,Saprospira grandis,4,10.5,13.98,<0.001,0.036
ASV20,Verrucomicrobiaceae,Haloferula sp.,4,18.9,20.75,<0.001,<0.001
ASV8,Vibrionaceae,Vibrio sp.,4,90.6,7.77,<0.001,0.003
